"eye_separation";"distance_culling";"triangle_tolerance";"raymarching_iterations";"ray_length";"elapsed_time";"fps"
5;5;0.02;100;0.05;19026944;52.557
4.9375;5;0.02;100;0.05;19804160;50.4944
4.875;5;0.02;100;0.05;20037632;49.9061
4.8125;5;0.02;100;0.05;20065280;49.8373
4.75;5;0.02;100;0.05;19252224;51.9421
4.6875;5;0.02;100;0.05;20032512;49.9189
4.625;5;0.02;100;0.05;20460544;48.8746
4.5625;5;0.02;100;0.05;19866624;50.3357
4.5;5;0.02;100;0.05;19957760;50.1058
4.4375;5;0.02;100;0.05;19254272;51.9365
4.375;5;0.02;100;0.05;20154368;49.617
4.3125;5;0.02;100;0.05;19634176;50.9316
4.25;5;0.02;100;0.05;18145280;55.1108
4.1875;5;0.02;100;0.05;19743744;50.649
4.125;5;0.02;100;0.05;18533376;53.9567
4.0625;5;0.02;100;0.05;19995648;50.0109
4;5;0.02;100;0.05;19777536;50.5624
3.9375;5;0.02;100;0.05;19848192;50.3824
3.875;5;0.02;100;0.05;18969600;52.7159
3.8125;5;0.02;100;0.05;19867648;50.3331
3.75;5;0.02;100;0.05;18770944;53.2738
3.6875;5;0.02;100;0.05;19612672;50.9874
3.625;5;0.02;100;0.05;20001792;49.9955
3.5625;5;0.02;100;0.05;20255744;49.3687
3.5;5;0.02;100;0.05;19869696;50.3279
3.4375;5;0.02;100;0.05;20008960;49.9776
3.375;5;0.02;100;0.05;18689024;53.5073
3.3125;5;0.02;100;0.05;17473536;57.2294
3.25;5;0.02;100;0.05;19049472;52.4949
3.1875;5;0.02;100;0.05;19203072;52.075
3.125;5;0.02;100;0.05;19858432;50.3564
3.0625;5;0.02;100;0.05;19244032;51.9642
3;5;0.02;100;0.05;19324928;51.7466
2.9375;5;0.02;100;0.05;17980416;55.6161
2.875;5;0.02;100;0.05;18855936;53.0337
2.8125;5;0.02;100;0.05;17829888;56.0856
2.75;5;0.02;100;0.05;18145280;55.1108
2.6875;5;0.02;100;0.05;18778112;53.2535
2.625;5;0.02;100;0.05;18152448;55.089
2.5625;5;0.02;100;0.05;19308544;51.7905
2.5;5;0.02;100;0.05;19197952;52.0889
2.4375;5;0.02;100;0.05;18969600;52.7159
2.375;5;0.02;100;0.05;18328576;54.5596
2.3125;5;0.02;100;0.05;18421760;54.2836
2.25;5;0.02;100;0.05;18675712;53.5455
2.1875;5;0.02;100;0.05;18776064;53.2593
2.125;5;0.02;100;0.05;18113536;55.2073
2.0625;5;0.02;100;0.05;17622016;56.7472
2;5;0.02;100;0.05;17287168;57.8464
1.9375;5;0.02;100;0.05;17146880;58.3196
1.875;5;0.02;100;0.05;17212416;58.0976
1.8125;5;0.02;100;0.05;18321408;54.581
1.75;5;0.02;100;0.05;17248256;57.9769
1.6875;5;0.02;100;0.05;17691648;56.5238
1.625;5;0.02;100;0.05;17824768;56.1017
1.5625;5;0.02;100;0.05;18308096;54.6206
1.5;5;0.02;100;0.05;17411072;57.4347
1.4375;5;0.02;100;0.05;16768000;59.6374
1.375;5;0.02;100;0.05;17911808;55.8291
1.3125;5;0.02;100;0.05;19508224;51.2604
1.25;5;0.02;100;0.05;17842176;56.047
1.1875;5;0.02;100;0.05;17489920;57.1758
1.125;5;0.02;100;0.05;16903168;59.1605
1.0625;5;0.02;100;0.05;17391616;57.499
1;5;0.02;100;0.05;17229824;58.0389
0.9375;5;0.02;100;0.05;17190912;58.1703
0.875;5;0.02;100;0.05;17594368;56.8364
0;5;0.02;100;0.05;16653312;60.0481
